Activity Date,Category,Minutes
02-05-2016,Active Minutes,216.0689655
03-05-2016,Active Minutes,243.1034483
04-05-2016,Active Minutes,204.8965517
05-05-2016,Active Minutes,244.7586207
06-05-2016,Active Minutes,233.6551724
07-05-2016,Active Minutes,215.8965517
08-05-2016,Active Minutes,219.2592593
09-05-2016,Active Minutes,239.5185185
10-05-2016,Active Minutes,222.1923077
11-05-2016,Active Minutes,220.2916667
12-05-2016,Active Minutes,105.1428571
12-04-2016,Total Minutes,1255.363636
13-04-2016,Total Minutes,1234.454545
14-04-2016,Total Minutes,1244.363636
15-04-2016,Total Minutes,1203.969697
16-04-2016,Total Minutes,1239.4375
17-04-2016,Total Minutes,1246.0625
18-04-2016,Total Minutes,1290.03125
19-04-2016,Total Minutes,1243.59375
20-04-2016,Total Minutes,1220.65625
21-04-2016,Total Minutes,1256.3125
22-04-2016,Total Minutes,1265.34375
23-04-2016,Total Minutes,1226.625
24-04-2016,Total Minutes,1213.21875
25-04-2016,Total Minutes,1271.34375
26-04-2016,Total Minutes,1263.09375
27-04-2016,Total Minutes,1236.25
28-04-2016,Total Minutes,1220.6875
29-04-2016,Total Minutes,1225
30-04-2016,Total Minutes,1194.258065
01-05-2016,Total Minutes,1152.1
02-05-2016,Total Minutes,1243.482759
03-05-2016,Total Minutes,1256.517241
04-05-2016,Total Minutes,1242.068966
05-05-2016,Total Minutes,1277.689655
06-05-2016,Total Minutes,1255.137931
07-05-2016,Total Minutes,1169.793103
08-05-2016,Total Minutes,1177.333333
09-05-2016,Total Minutes,1215.851852
10-05-2016,Total Minutes,1180.884615
11-05-2016,Total Minutes,1108.5
12-05-2016,Total Minutes,757.1428571
